,12/17/2013,(all prices list),List Unit Price,List Extended,VENDOR TOTAL,Country of Origin,Schedule B Tariff Code,MFR,Picture
,,,,,,,,,
,Fab Lab 2.0,,,,,,,,
,http://mtm.cba.mit.edu/,,,,,,,,
,,,,,,,,,
,Epilog Laser,,,,,,,,
,http://www.epiloglaser.com/,,,,,,,,
,"Mini 24"" x 12"" 40W laser cutter",,,,,,,,
,"Depending on where you are in the world, you can buy ",,,,,,,,
,one of these for ,,"20,000",20000.00,,USA,8456.10.80.00,,
,purchases please contact Mark Schwarz at Epilog:,,,,,,,,
,Mark Schwarz,,0,0.00,,USA,84.56,,
,Epilog Laser,Floor Stand: ,287.5,287.50,Epilog total:,USA,9403.20.0020,,
,303.277.1188 ,,,,20287.5,,,,
,epiloglaser.com,,,,,,,,
,marks@epiloglaser.com,,,,,,,,
,For international purchases please contact Bob Henry at Epilog:,,,,,,,,
,bobh@epiloglaser.com,,,,,,,,
,"Tell them you want to buy the ""MIT Fab Lab"" laser cutter. You also",,,,,,,,
, order at the same time a compressor to assist the laser ,,,,,,,,
,"cutter, and in most cases you will want a table stand for the",,,,,,,,
, cutter as well. ,,,,,,,,
,,,,,,,,,
,For the Laser cutter you will additionally need some kind of ,,,,,,,,
,ventilation or filter for the system.  If you are unable to ,,,,,,,,
,"vent out of doors, you should use an internal Hepa filtration system. ",,,,,,,,
, These can be rather expensive -- We are recommending here a SAS system from sentryair.com,,,,,,,,
,Includes: CFP + HEPA + 22 Lb Carbon,,,,,,,,
1,SS-400-PFS High Flow Portable Floor Sentry,,3000,3000,SAS total:,,,,
,"Cabinet Dimensions: 20"" D x 20"" W x 14"" H | Weight: 70lbs",,,,3000,,,,
,"Black Fire Retardant Flex Hose: 72""L x 6""Dia. Flex w/ Round",,,,,,,,
,Capture Hood,,,,,,,,
,Internal Support Assembly | Portability Handle,,,,,,,,
,360 Degree Swivel Arm Assembly | Heavy Duty Locking,,,,,,,,
,Casters,,,,,,,,
,"Electrical: 115/1/60, 2.4 amps | 24 Month Warranty",,,,,,,,
,For venting outside (No HEPA),,,,,,,,
1,DC250SEMB,,395,,,,,,
,,,,,,,,,
,,,,,,,,,
,ShopBot,,,,,,,,
,http://www.shopbottools.com/,,,,,,,,
.,"There are 2 versions, an open loop and a closed loop. The closed",,,,,,,,
,"loop is more expensive, but preferable if you can afford it. ",,,,,,,,
,Open Loop ShopBot: You need to purchase the first three (3) parts. E-Chain optional but recommended,,,,,,,,
,,,,,,,,,
,Open Loop ShopBot:,,,,,,,,
1,PRSstandard96 96x48x8in: ,,11695,11695,,USA,8465.92.0090,,
1,220V 4HP spindle:,,3495,3495,,Italy,8466.92.0020,,
1,Router Bit Starter Kit: 195.00,,195,195,,USA,8466.92.0020,,
1,E-Chain X96 Kit - Cable carrier system for 96”-axis PRS tools,,380,380,,USA,8466.92.0020,,
,Crating for Intl shipping,,450,450,Shopbot Open Loop:,,,,
,Shipping fees: determined on a case by case basis,,,0,$0,,,,
,,,,,,,,,
,Closed Loop ShopBot: ,,,,,,,,
1,PRSalpha96 Includes E-Chair X96 Kit carrier sys,,17495,17495,,USA,8465.92.0090,,
1,Crtl Box 1 Spindle,,200,200,,USA,8466.92.0020,,
1,HSD 4HP 220V spindle,,3459,3459,,Italy,8466.92.0020,,
1,Router Bit Starter Kit: 195.00,,195,195,,USA,8466.92.0020,,
,Crating for Intl shipping,,450,450,Shopbot Closed Loop:,,,,
,Shipping:  determined on a case by case basis,,,,21799,,,,
,1,220V 4HP spindle: ,,,,,,,
,The ShopBot requires a hefty dust collector.  Please see:,,,,,,,,
,http://www.pennstateind.com/,,,,,,,,
1,DC2000BCF,2HP Dst Col 1mc Filter+10 Bags,425.95,425.95,Dust Collector:,China,8421.39.8005,,
,,,,,425.95,,,,
,Makerbot,,,,,,,,
,http://store.makerbot.com/replicator2.html,,,,,,,,
1,Replicator 2,MakerBot Replicator 2 Desktop 3D Printer,2199,2199,,,,,
10,Color PLA,Color PLA 1kg Spool 1.75mm Filament,48,480,,,,,
10,Natural PLA,Natural PLA 1kg Spool 1.75mm Filament,43,430,,,,,
1,Spare Parts Kit,Replicator 2 Spare Parts Kit,491.02,491.02,,,,,
,,,,,Makerbot:,,,,
,,,,,3600.02,,,,
,MSC,"not replaceable by MSC! ask kenny any questions about difference (why size matters, no matter how you use it)",,,,,,,
,http://www.mscdirect.com,,,,,,,,
,ShopBot tooling:,"(""LOC""=length of cut / ""OAL""=overall length)",,,,,,,
2,9844135,Ball - Single End; Size: 1/4; Shank Dia: 1/4; LOC: 1-1/2; OAL: 4; Flutes: 2,39.44,78.88,,,820900,,
8,85336089,Straight Centercutting - Single End; Size: 1/8; Shank Dia: 1/8; LOC: 1/2; OAL: 1-1/2; Flutes: 4 Material: Solid Carbide.,18.34,146.72,,USA,820900,Atrax,
2,74210410,Standard - Single End; Size: 1/4; Shank Dia: 1/4; LOC: 1-1/2; OAL: 4; Flutes: 4,34.63,69.26,,USA,820900,Kennametal,
1,91193151,Ball - Single End; Size: 1/2; Shank Dia: 1/2; LOC: 3; OAL: 5; Flutes: 4; Material: Cobalt - M-42 Finish/Coating: Bright.,60.59,60.59,,USA,820900,Hertel,
